code,name,name_en,full_name,full_name_en,code_name,province_code,administrative_unit_id
00691,Hà Giang 2,Ha Giang 2,Phường Hà Giang 2,Ha Giang 2 Ward,ha_giang_2,08,8
00694,Hà Giang 1,Ha Giang 1,Phường Hà Giang 1,Ha Giang 1 Ward,ha_giang_1,08,8
00700,Ngọc Đường,Ngoc uong,Xã Ngọc Đường,Ngoc uong Commune,ngoc_uong,08,10
00706,Phú Linh,Phu Linh,Xã Phú Linh,Phu Linh Commune,phu_linh,08,10
00715,Lũng Cú,Lung Cu,Xã Lũng Cú,Lung Cu Commune,lung_cu,08,10
00721,Đồng Văn,ong Van,Xã Đồng Văn,ong Van Commune,ong_van,08,10
00733,Sà Phìn,Sa Phin,Xã Sà Phìn,Sa Phin Commune,sa_phin,08,10
00745,Phố Bảng,Pho Bang,Xã Phố Bảng,Pho Bang Commune,pho_bang,08,10
00763,Lũng Phìn,Lung Phin,Xã Lũng Phìn,Lung Phin Commune,lung_phin,08,10
00769,Mèo Vạc,Meo Vac,Xã Mèo Vạc,Meo Vac Commune,meo_vac,08,10
00778,Sơn Vĩ,Son Vi,Xã Sơn Vĩ,Son Vi Commune,son_vi,08,10
00787,Sủng Máng,Sung Mang,Xã Sủng Máng,Sung Mang Commune,sung_mang,08,10
00802,Khâu Vai,Khau Vai,Xã Khâu Vai,Khau Vai Commune,khau_vai,08,10
00808,Tát Ngà,Tat Nga,Xã Tát Ngà,Tat Nga Commune,tat_nga,08,10
00817,Niêm Sơn,Niem Son,Xã Niêm Sơn,Niem Son Commune,niem_son,08,10
00820,Yên Minh,Yen Minh,Xã Yên Minh,Yen Minh Commune,yen_minh,08,10
00829,Thắng Mố,Thang Mo,Xã Thắng Mố,Thang Mo Commune,thang_mo,08,10
00832,Bạch Đích,Bach ich,Xã Bạch Đích,Bach ich Commune,bach_ich,08,10
00847,Mậu Duệ,Mau Due,Xã Mậu Duệ,Mau Due Commune,mau_due,08,10
00859,Ngọc Long,Ngoc Long,Xã Ngọc Long,Ngoc Long Commune,ngoc_long,08,10
00865,Đường Thượng,uong Thuong,Xã Đường Thượng,uong Thuong Commune,uong_thuong,08,10
00871,Du Già,Du Gia,Xã Du Già,Du Gia Commune,du_gia,08,10
00874,Quản Bạ,Quan Ba,Xã Quản Bạ,Quan Ba Commune,quan_ba,08,10
00883,Cán Tỷ,Can Ty,Xã Cán Tỷ,Can Ty Commune,can_ty,08,10
00889,Nghĩa Thuận,Nghia Thuan,Xã Nghĩa Thuận,Nghia Thuan Commune,nghia_thuan,08,10
00892,Tùng Vài,Tung Vai,Xã Tùng Vài,Tung Vai Commune,tung_vai,08,10
00901,Lùng Tám,Lung Tam,Xã Lùng Tám,Lung Tam Commune,lung_tam,08,10
00913,Vị Xuyên,Vi Xuyen,Xã Vị Xuyên,Vi Xuyen Commune,vi_xuyen,08,10
00919,Minh Tân,Minh Tan,Xã Minh Tân,Minh Tan Commune,minh_tan,08,10
00922,Thuận Hoà,Thuan Hoa,Xã Thuận Hoà,Thuan Hoa Commune,thuan_hoa,08,10
00925,Tùng Bá,Tung Ba,Xã Tùng Bá,Tung Ba Commune,tung_ba,08,10
00928,Thanh Thủy,Thanh Thuy,Xã Thanh Thủy,Thanh Thuy Commune,thanh_thuy,08,10
00937,Lao Chải,Lao Chai,Xã Lao Chải,Lao Chai Commune,lao_chai,08,10
00952,Cao Bồ,Cao Bo,Xã Cao Bồ,Cao Bo Commune,cao_bo,08,10
00958,Thượng Sơn,Thuong Son,Xã Thượng Sơn,Thuong Son Commune,thuong_son,08,10
00967,Việt Lâm,Viet Lam,Xã Việt Lâm,Viet Lam Commune,viet_lam,08,10
00970,Linh Hồ,Linh Ho,Xã Linh Hồ,Linh Ho Commune,linh_ho,08,10
00976,Bạch Ngọc,Bach Ngoc,Xã Bạch Ngọc,Bach Ngoc Commune,bach_ngoc,08,10
00982,Minh Sơn,Minh Son,Xã Minh Sơn,Minh Son Commune,minh_son,08,10
00985,Giáp Trung,Giap Trung,Xã Giáp Trung,Giap Trung Commune,giap_trung,08,10
00991,Bắc Mê,Bac Me,Xã Bắc Mê,Bac Me Commune,bac_me,08,10
00994,Minh Ngọc,Minh Ngoc,Xã Minh Ngọc,Minh Ngoc Commune,minh_ngoc,08,10
01006,Yên Cường,Yen Cuong,Xã Yên Cường,Yen Cuong Commune,yen_cuong,08,10
01012,Đường Hồng,uong Hong,Xã Đường Hồng,uong Hong Commune,uong_hong,08,10
01021,Hoàng Su Phì,Hoang Su Phi,Xã Hoàng Su Phì,Hoang Su Phi Commune,hoang_su_phi,08,10
